Country Name,Region,GDP per capita,Population,CO2 emission,Area
Iceland,Europe & Central Asia,59764.70538,334252,1983.847,103000.0
India,South Asia,1709.591808,1324171354,2238377.137,3287259.0
Indonesia,East Asia & Pacific,3570.294888,261115456,464176.194,1910931.0
Iran,Middle East & North Africa,5219.109408,80277428,649480.705,1745150.0
Iraq,Middle East & North Africa,4609.600694,37202572,168443.645,435050.0
Ireland,Europe & Central Asia,64175.43824,4773095,34066.43,70280.0
Isle of Man,Europe & Central Asia,13445.593416057367,83737,165114.1163365854,570.0
Israel,Middle East & North Africa,37180.52711,8547100,64601.539,22070.0
Italy,Europe & Central Asia,30661.22181,60600590,320411.459,301340.0
Jamaica,Latin America & Caribbean,4878.575791,2881355,7422.008,10990.0
Japan,East Asia & Pacific,38900.56931,126994511,1214048.358,377962.0
Jordan,Middle East & North Africa,4087.937517,9455802,26450.071,89320.0
Kazakhstan,Europe & Central Asia,7714.693568,17797032,248314.572,2724902.0
Kenya,Sub-Saharan Africa,1455.359765,48461567,14286.632,580370.0
Kiribati,East Asia & Pacific,1587.057869,114395,62.339,810.0
Korea,East Asia & Pacific,13445.593416057367,25368620,40527.684,120540.0
Korea,East Asia & Pacific,27538.80613,51245707,587156.373,100280.0
Kosovo,Europe & Central Asia,3661.429847,1816200,165114.1163365854,10887.0
Kuwait,Middle East & North Africa,27359.23033,4052584,95408.006,17820.0
Kyrgyz Republic,Europe & Central Asia,1077.603082,6082700,9607.54,199949.0
Lao PDR,East Asia & Pacific,2338.692157,6758353,1954.511,236800.0
Latvia,Europe & Central Asia,14071.02723,1960424,6974.634,64490.0
Lebanon,Middle East & North Africa,8257.294391,6006668,24070.188,10450.0
Lesotho,Sub-Saharan Africa,1039.704072,2203821,2467.891,30360.0
Liberia,Sub-Saharan Africa,455.3707414,4613823,935.085,111370.0
Libya,Middle East & North Africa,13445.593416057367,6293253,56996.181,1759540.0
Liechtenstein,Europe & Central Asia,13445.593416057367,37666,44.004,160.0
Lithuania,Europe & Central Asia,14900.7789,2872298,12838.167,65286.0
Luxembourg,Europe & Central Asia,100738.6842,582972,9658.878,2590.0
Macao SAR,East Asia & Pacific,74017.18471,612167,1283.45,30.3
Macedonia,Europe & Central Asia,5237.14767,2081206,7510.016,25710.0
Madagascar,Sub-Saharan Africa,401.7422696,24894551,3076.613,587295.0
Malawi,Sub-Saharan Africa,300.3076651,18091575,1276.116,118480.0
Malaysia,East Asia & Pacific,9508.23775,31187265,242821.406,330800.0
Maldives,South Asia,9875.278428,417492,1334.788,300.0
Mali,Sub-Saharan Africa,779.9448438,17994837,1411.795,1240190.0
Malta,Middle East & North Africa,25145.39315,436947,2346.88,320.0
Marshall Islands,East Asia & Pacific,3665.207477,53066,102.676,180.0
Mauritania,Sub-Saharan Africa,1101.901627,4301018,2709.913,1030700.0
Mauritius,Sub-Saharan Africa,9630.944028,1263473,4228.051,2040.0
Mexico,Latin America & Caribbean,8208.555984,127540423,480270.657,1964380.0
Micronesia,East Asia & Pacific,3143.749107,104937,150.347,700.0
Moldova,Europe & Central Asia,1900.226088,3552000,4932.115,33850.0
Monaco,Europe & Central Asia,13445.593416057367,38499,165114.1163365854,2.0
Mongolia,East Asia & Pacific,3694.082552,3027398,20839.561,1564120.0
Montenegro,Europe & Central Asia,7028.934799,622781,2211.201,13810.0
Morocco,Middle East & North Africa,2892.775561,35276786,59863.775,446550.0
Mozambique,Sub-Saharan Africa,382.0693304,28829476,8426.766,799380.0
Myanmar,East Asia & Pacific,1195.515372,52885223,21631.633,676590.0
Namibia,Sub-Saharan Africa,4414.978947,2479713,3755.008,824290.0
Nauru,East Asia & Pacific,7821.298918,13049,47.671,20.0
Nepal,South Asia,729.1222515,28982771,8030.73,147180.0
Netherlands,Europe & Central Asia,45637.88675,17018408,167303.208,41540.0
New Caledonia,East Asia & Pacific,13445.593416057367,278000,4290.39,18580.0
New Zealand,East Asia & Pacific,39412.15943,4692700,34664.151,267710.0
Nicaragua,Latin America & Caribbean,2151.382047,6149928,4862.442,130370.0
Niger,Sub-Saharan Africa,13445.593416057367,20672987,2126.86,1267000.0
Nigeria,Sub-Saharan Africa,2175.673442,185989640,96280.752,923770.0
Northern Mariana Islands,East Asia & Pacific,22572.37882,55023,165114.1163365854,460.0
Norway,Europe & Central Asia,70868.1225,5232929,47626.996,385178.0
Oman,Middle East & North Africa,14982.35792,4424762,61169.227,309500.0
Pakistan,South Asia,1443.625016,193203476,166298.45,796100.0
Palau,East Asia & Pacific,14428.14026,21503,260.357,460.0
Panama,Latin America & Caribbean,13680.23601,4034119,8800.8,75420.0
Papua New Guinea,East Asia & Pacific,2500.091116,8084991,6318.241,462840.0
Paraguay,Latin America & Caribbean,4077.742073,6725308,5702.185,406752.0
Peru,Latin America & Caribbean,6049.232578,31773839,61744.946,1285220.0
Philippines,East Asia & Pacific,2951.071929,103320222,105653.604,300000.0
Poland,Europe & Central Asia,12414.09873,37948016,285739.974,312680.0
Portugal,Europe & Central Asia,19838.02723,10324611,45052.762,92225.0
Puerto Rico,Latin America & Caribbean,30790.10479,3411307,165114.1163365854,8870.0
Qatar,Middle East & North Africa,59324.33877,2569804,107853.804,11610.0
Romania,Europe & Central Asia,9522.771041,19705301,70003.03,238390.0
Russian Federation,Europe & Central Asia,8748.368853,144342396,1705345.684,17098250.0
Rwanda,Sub-Saharan Africa,702.8356016,11917508,839.743,26340.0
Samoa,East Asia & Pacific,4030.013144,195125,198.018,2840.0
San Marino,Europe & Central Asia,47908.56141,33203,165114.1163365854,60.0
Sao Tome and Principe,Sub-Saharan Africa,1714.680184,199910,113.677,960.0
Saudi Arabia,Middle East & North Africa,20028.64821,32275687,601046.969,2149690.0
Senegal,Sub-Saharan Africa,952.7683234,15411614,8855.805,196710.0
Serbia,Europe & Central Asia,5426.198279,7057412,37667.424,88360.0
Seychelles,Sub-Saharan Africa,15075.71944,94677,495.045,460.0
Sierra Leone,Sub-Saharan Africa,505.2045112,7396190,1309.119,72300.0
Singapore,East Asia & Pacific,52962.49157,5607283,56372.791,719.0
Sint Maarten ,Latin America & Caribbean,13445.593416057367,40005,733.4,34.0
Slovak Republic,Europe & Central Asia,16529.54097,5428704,30678.122,49035.0
Slovenia,Europe & Central Asia,21650.21276,2064845,12812.498,20270.0
Solomon Islands,East Asia & Pacific,2005.483643,599419,201.685,28900.0
Somalia,Sub-Saharan Africa,434.2088097,14317996,608.722,637660.0
South Africa,Sub-Saharan Africa,5274.546008,55908865,489771.854,1219090.0
South Sudan,Sub-Saharan Africa,13445.593416057367,12230730,1496.136,644330.0
Spain,Europe & Central Asia,26616.4881,46443959,233976.602,505940.0
Sri Lanka,South Asia,3909.989066,21203000,18393.672,65610.0
St. Kitts and Nevis,Latin America & Caribbean,16596.82639,54821,231.021,260.0
St. Lucia,Latin America & Caribbean,9364.821525,178015,407.037,620.0
St. Martin ,Latin America & Caribbean,13445.593416057367,31949,165114.1163365854,54.4
St. Vincent and the Grenadines,Latin America & Caribbean,7006.596196,109643,209.019,390.0
Sudan,Sub-Saharan Africa,2415.038162,39578828,15364.73,1879357.5
Suriname,Latin America & Caribbean,5871.442003,558368,1991.181,163820.0
Swaziland,Sub-Saharan Africa,2770.199475,1343098,1202.776,17360.0
Sweden,Europe & Central Asia,51844.76126,9903122,43420.947,447420.0
Switzerland,Europe & Central Asia,79887.51824,8372098,35305.876,41290.0
Syrian Arab Republic,Middle East & North Africa,13445.593416057367,18430453,30703.791,185180.0
Tajikistan,Europe & Central Asia,795.8438644,8734951,5188.805,141376.0
Tanzania,Sub-Saharan Africa,877.507612,55572201,11562.051,947300.0
Thailand,East Asia & Pacific,5910.620932,68863514,316212.744,513120.0
Timor,East Asia & Pacific,1405.387212,1268671,469.376,14870.0
Togo,Sub-Saharan Africa,578.4616936,7606374,2621.905,56790.0
Tonga,East Asia & Pacific,3748.641794,107122,121.011,750.0
Trinidad and Tobago,Latin America & Caribbean,16040.52424,1364962,46273.873,5130.0
Tunisia,Middle East & North Africa,3688.646375,11403248,28829.954,163610.0
Turkey,Europe & Central Asia,10862.6004,79512426,345981.45,785350.0
Turkmenistan,Europe & Central Asia,6389.334143,5662544,68422.553,488100.0
Turks and Caicos Islands,Latin America & Caribbean,13445.593416057367,34900,205.352,950.0
Tuvalu,East Asia & Pacific,3083.615251,11097,11.001,30.0
Uganda,Sub-Saharan Africa,580.3835385,41487965,5229.142,241550.0
Ukraine,Europe & Central Asia,2185.728031,45004645,227298.995,603550.0
United Arab Emirates,Middle East & North Africa,37622.20746,9269612,211369.547,83600.0
United Kingdom,Europe & Central Asia,40367.03784,65637239,419820.162,243610.0
United States,North America,57638.15909,323127513,5254279.285,9831510.0
Uruguay,Latin America & Caribbean,15220.56603,3444006,6747.28,176220.0
Uzbekistan,Europe & Central Asia,2110.667754,31848200,105213.564,447400.0
Vanuatu,East Asia & Pacific,2860.566475,270402,154.014,12190.0
Venezuela,Latin America & Caribbean,13445.593416057367,31568179,185220.17,912050.0
Vietnam,East Asia & Pacific,2170.648054,92701100,166910.839,330967.0
Virgin Islands ,Latin America & Caribbean,13445.593416057367,102951,165114.1163365854,350.0
West Bank and Gaza,Middle East & North Africa,2943.404534,4551566,165114.1163365854,6020.0
Yemen,Middle East & North Africa,990.334774,27584213,22698.73,527970.0
Zambia,Sub-Saharan Africa,1269.573537,16591390,4503.076,752610.0
Zimbabwe,Sub-Saharan Africa,1029.076649,16150362,12020.426,390760.0
